=== BQBYTE SUPPLY CHAIN — SUPPLIER PERFORMANCE DATA (Authoritative RAG Source) ===
NOTE: Metrics below are averaged across all purchase orders per supplier.
Total POs in dataset: 2000 | Total suppliers: 116 | Total spend: $399,563,494.10

=== REGIONAL SPEND BREAKDOWN (Section 5.3 Concentration Risk) ===
Total annual procurement spend: $399,563,494.10
EMEA: $193,987,179.91 (48.5% of total) *** BREACHES 45% concentration cap — Diversification Plan required within 60 days (Policy §5.3) ***
APAC: $131,620,356.14 (32.9% of total) — within limit
LATAM: $83,971,664.94 (21.0% of total) — within limit
NA: $46,330,792.78 (11.6% of total) — within limit
Highest region by PO value: EMEA at $193,987,179.91 (48.5%) — BREACHES the 45% regional cap.
No single country exceeds 25% limit.

=== PRODUCT CATEGORY DEFECT RATE ANALYSIS ===
Tier-2 maximum defect rate: 2.50% (Policy §3.2)
Category Packaging Materials: average defect rate 1.909% across 429 POs — BELOW Tier-2 limit of 2.50%
Category Mechanical Components: average defect rate 1.893% across 329 POs — BELOW Tier-2 limit of 2.50%
Category Raw Materials: average defect rate 1.713% across 360 POs — BELOW Tier-2 limit of 2.50%
Category Industrial Textiles: average defect rate 1.708% across 275 POs — BELOW Tier-2 limit of 2.50%
Category Specialty Alloys: average defect rate 1.606% across 327 POs — BELOW Tier-2 limit of 2.50%
Category Electronic Components: average defect rate 1.591% across 280 POs — BELOW Tier-2 limit of 2.50%
Highest average defect rate category: Mechanical Components at 2.12% across 360 POs — below Tier-2 ceiling of 2.50% (no breach, but approaching limit)

=== VOLUME REBATE PROGRAM QUALIFIERS — 19 SUPPLIERS (Policy §4.2) ===
Criteria: Tier-1 AND average OTD >= 93% AND average Defect Rate < 0.5% AND average Sustainability Score >= 85
Total qualifying suppliers: 19
VOLUME REBATE ELIGIBLE: SUP-062 Borealis Composites | Tier-1 | Region:EMEA | Country:Denmark | Category:RM
VOLUME REBATE ELIGIBLE: SUP-102 Crestline Chemical Supply | Tier-1 | Region:NA | Country:USA | Category:RM
VOLUME REBATE ELIGIBLE: SUP-103 Fenwick Alloy Solutions | Tier-1 | Region:NA | Country:USA | Category:SA
VOLUME REBATE ELIGIBLE: SUP-023 Hanguk Circuit Works | Tier-1 | Region:APAC | Country:South Korea | Category:EC
VOLUME REBATE ELIGIBLE: SUP-028 Hokkaido Alloy Tech | Tier-1 | Region:APAC | Country:Japan | Category:SA
VOLUME REBATE ELIGIBLE: SUP-046 Krauss-Polymex GmbH | Tier-1 | Region:EMEA | Country:Germany | Category:RM
VOLUME REBATE ELIGIBLE: SUP-105 Lakeshore Components | Tier-1 | Region:NA | Country:USA | Category:MC
VOLUME REBATE ELIGIBLE: SUP-054 Lumivex Semiconductor NL | Tier-1 | Region:EMEA | Country:Netherlands | Category:EC
VOLUME REBATE ELIGIBLE: SUP-112 Maplewood Polymer Corp | Tier-1 | Region:NA | Country:Canada | Category:RM
VOLUME REBATE ELIGIBLE: SUP-058 Norbec Alloy Works | Tier-1 | Region:EMEA | Country:Norway | Category:SA
VOLUME REBATE ELIGIBLE: SUP-060 Nordloom Finland Oy | Tier-1 | Region:EMEA | Country:Finland | Category:IT
VOLUME REBATE ELIGIBLE: SUP-001 Orrentek Precision Mfg | Tier-1 | Region:APAC | Country:China | Category:EC
VOLUME REBATE ELIGIBLE: SUP-064 Ostwind Composites AG | Tier-1 | Region:EMEA | Country:Austria | Category:RM
VOLUME REBATE ELIGIBLE: SUP-033 PrecisionForge Taiyuan | Tier-1 | Region:APAC | Country:Taiwan | Category:MC
VOLUME REBATE ELIGIBLE: SUP-056 Solveig Eco Packaging | Tier-1 | Region:EMEA | Country:Sweden | Category:PM
VOLUME REBATE ELIGIBLE: SUP-037 Straits Packaging Hub | Tier-1 | Region:APAC | Country:Singapore | Category:PM
VOLUME REBATE ELIGIBLE: SUP-043 Tasman Circuit Boards | Tier-1 | Region:APAC | Country:Australia | Category:EC
VOLUME REBATE ELIGIBLE: SUP-051 Toreval Electronics | Tier-1 | Region:EMEA | Country:France | Category:EC
VOLUME REBATE ELIGIBLE: SUP-066 Valdoro Special Alloys | Tier-1 | Region:EMEA | Country:Italy | Category:SA
Rebate amount: 2.5% of total annual invoice value, assessed in January each year.

=== SUPPLIER WATCH LIST (SWL) — 11 SUPPLIERS (Policy §3.4) ===
Criteria: Compliance Score < 60 at any audit — restricts new PO issuance to 20% of prior quarter volume
SWL STATUS: SUP-018 Deltaforge Vietnam | Region:APAC | Country:Vietnam | Tier-3 | Compliance Score:62
SWL STATUS: SUP-080 Maghreb Castworks | Region:EMEA | Country:Morocco | Tier-3 | Compliance Score:62
SWL STATUS: SUP-079 Helios Pack Greece | Region:EMEA | Country:Greece | Tier-3 | Compliance Score:60
SWL STATUS: SUP-095 Cerromax Mineria | Region:LATAM | Country:Peru | Tier-3 | Compliance Score:53
SWL STATUS: SUP-100 Orinoco Pack SAPI | Region:LATAM | Country:Venezuela | Tier-3 | Compliance Score:61
SWL STATUS: SUP-078 Varna Electronics EAD | Region:EMEA | Country:Bulgaria | Tier-3 | Compliance Score:58
SWL STATUS: SUP-101 Quetzal Textiles | Region:LATAM | Country:Guatemala | Tier-3 | Compliance Score:67
SWL STATUS: SUP-090 Plataforma Metales SA | Region:LATAM | Country:Argentina | Tier-3 | Compliance Score:68
SWL STATUS: SUP-041 Archipelago PCB Corp | Region:APAC | Country:Philippines | Tier-3 | Compliance Score:75
SWL STATUS: SUP-011 Dravex Components India | Region:APAC | Country:India | Tier-3 | Compliance Score:74
SWL STATUS: SUP-045 Sibertek Molding | Region:APAC | Country:Russia | Tier-3 | Compliance Score:70
Total SWL suppliers: 11
SWL restriction: New PO issuance limited to 20% of prior quarter volume (Policy §3.4)

=== TIER-3 SUPPLIERS WITH ACTIVE DISRUPTION FLAGS — 11 SUPPLIERS (Policy §9) ===
All High Risk Tier-3 suppliers with disruption flag → Level 3 Activate per Policy §9
Level 3 Activate: CPO escalation + alternate supplier at minimum 40% volume within 10 days + safety stock +50% + RCA within 15 days
TIER-3 DISRUPTION: SUP-011 Dravex Components India | Region:APAC | Risk:High | Disruption:Typhoon season disruption | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-090 Plataforma Metales SA | Region:LATAM | Risk:High | Disruption:Export license risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-080 Maghreb Castworks | Region:EMEA | Risk:Medium | Disruption:Tariff adjustment pending | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-079 Helios Pack Greece | Region:EMEA | Risk:High | Disruption:Labour strike risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-095 Cerromax Mineria | Region:LATAM | Risk:High | Disruption:Audit overdue; compliance review | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-100 Orinoco Pack SAPI | Region:LATAM | Risk:High | Disruption:Audit overdue; compliance review | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-101 Quetzal Textiles | Region:LATAM | Risk:Medium | Disruption:Seasonal flood risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-045 Sibertek Molding | Region:APAC | Risk:High | Disruption:Port closure risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-041 Archipelago PCB Corp | Region:APAC | Risk:High | Disruption:Labour strike risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-078 Varna Electronics EAD | Region:EMEA | Risk:Medium | Disruption:Port congestion risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-018 Deltaforge Vietnam | Region:APAC | Risk:Medium | Disruption:Port congestion risk | Response: Level 3 Activate
Total Tier-3 suppliers with active disruption: 11
Note: Labour strikes (SUP-079, SUP-041) and export control restrictions (SUP-090) are mandatory Level 3 regardless of risk level per Policy §9

=== ALL 116 SUPPLIER PROFILES (averaged metrics across all POs) ===
Supplier SUP-001 | Orrentek Precision Mfg | Region:APAC | Country:China | Category:Electronic Components | Tier:Tier-1 | Risk:Low | Avg OTD:95.7% | Avg Defect:0.87% | Avg Compliance:86 | Avg Sustainability:81 | Active Disruptions:None | Alt Supplier:SUP-006 | Certifications:ISO9001;ISO14001;RoHS | Total PO Value:$939,643.31 [REBATE ELIGIBLE]
Supplier SUP-025 | Koryo Alloy Systems | Region:APAC | Country:South Korea | Category:Specialty Alloys | Tier:Tier-1 | Risk:High | Avg OTD:94.3% | Avg Defect:1.05% | Avg Compliance:87 | Avg Sustainability:84 | Active Disruptions:Currency volatility flag | Alt Supplier:SUP-081 | Certifications:ISO9001;NADCAP | Total PO Value:$3,701,463.07
Supplier SUP-026 | Hangang Steel Parts | Region:APAC | Country:South Korea | Category:Mechanical Components | Tier:Tier-2 | Risk:Low | Avg OTD:85.5% | Avg Defect:1.98% | Avg Compliance:79 | Avg Sustainability:67 | Active Disruptions:None | Alt Supplier:SUP-106 | Certifications:ISO9001;IATF16949 | Total PO Value:$2,426,635.76
Supplier SUP-027 | Busan Pack Corp | Region:APAC | Country:South Korea | Category:Packaging Materials | Tier:Tier-2 | Risk:High | Avg OTD:88.2% | Avg Defect:1.97% | Avg Compliance:82 | Avg Sustainability:69 | Active Disruptions:Port closure risk | Alt Supplier:SUP-014 | Certifications:FSC;ISO9001 | Total PO Value:$864,414.12
Supplier SUP-028 | Hokkaido Alloy Tech | Region:APAC | Country:Japan | Category:Specialty Alloys | Tier:Tier-1 | Risk:Low | Avg OTD:94.1% | Avg Defect:0.97% | Avg Compliance:88 | Avg Sustainability:84 | Active Disruptions:None | Alt Supplier:SUP-057 | Certifications:ISO9001;NADCAP;AS9100 | Total PO Value:$3,795,087.29 [REBATE ELIGIBLE]
Supplier SUP-029 | Kinki Precision Corp | Region:APAC | Country:Japan | Category:Electronic Components | Tier:Tier-1 | Risk:Low | Avg OTD:94.2% | Avg Defect:1.00% | Avg Compliance:90 | Avg Sustainability:85 | Active Disruptions:None | Alt Supplier:SUP-044 | Certifications:ISO9001;AEC-Q100;RoHS | Total PO Value:$864,666.51
Supplier SUP-030 | Osaka Polymer Systems | Region:APAC | Country:Japan | Category:Raw Materials | Tier:Tier-1 | Risk:Low | Avg OTD:94.8% | Avg Defect:0.90% | Avg Compliance:89 | Avg Sustainability:84 | Active Disruptions:None | Alt Supplier:SUP-055 | Certifications:ISO9001;ISO14001;REACH | Total PO Value:$1,766,673.12
Supplier SUP-031 | Sendai Mech Works | Region:APAC | Country:Japan | Category:Mechanical Components | Tier:Tier-1 | Risk:Medium | Avg OTD:93.3% | Avg Defect:1.05% | Avg Compliance:87 | Avg Sustainability:84 | Active Disruptions:Port congestion risk | Alt Supplier:SUP-111 | Certifications:ISO9001;IATF16949 | Total PO Value:$703,129.89
Supplier SUP-032 | Kyushu Textile Co | Region:APAC | Country:Japan | Category:Industrial Textiles | Tier:Tier-1 | Risk:Medium | Avg OTD:93.2% | Avg Defect:0.78% | Avg Compliance:89 | Avg Sustainability:85 | Active Disruptions:Geopolitical tension flag | Alt Supplier:SUP-055 | Certifications:OEKO-TEX;ISO9001;ISO14001 | Total PO Value:$483,092.31
Supplier SUP-033 | PrecisionForge Taiyuan | Region:APAC | Country:Taiwan | Category:Mechanical Components | Tier:Tier-1 | Risk:Medium | Avg OTD:94.4% | Avg Defect:1.12% | Avg Compliance:88 | Avg Sustainability:85 | Active Disruptions:Tariff adjustment pending | Alt Supplier:SUP-019 | Certifications:ISO9001;IATF16949 | Total PO Value:$591,164.41 [REBATE ELIGIBLE]
Supplier SUP-034 | Formosa Circuit Co | Region:APAC | Country:Taiwan | Category:Electronic Components | Tier:Tier-1 | Risk:Low | Avg OTD:92.6% | Avg Defect:1.05% | Avg Compliance:91 | Avg Sustainability:81 | Active Disruptions:None | Alt Supplier:SUP-040 | Certifications:ISO9001;AEC-Q100;RoHS | Total PO Value:$912,811.76
Supplier SUP-035 | Yulon Alloy Mfg | Region:APAC | Country:Taiwan | Category:Specialty Alloys | Tier:Tier-2 | Risk:Low | Avg OTD:87.8% | Avg Defect:1.95% | Avg Compliance:78 | Avg Sustainability:74 | Active Disruptions:None | Alt Supplier:SUP-036 | Certifications:ISO9001 | Total PO Value:$7,576,863.87
Supplier SUP-036 | Kaohsiung Pack Co | Region:APAC | Country:Taiwan | Category:Packaging Materials | Tier:Tier-2 | Risk:Low | Avg OTD:84.7% | Avg Defect:1.68% | Avg Compliance:78 | Avg Sustainability:73 | Active Disruptions:None | Alt Supplier:SUP-108 | Certifications:FSC;ISO9001 | Total PO Value:$1,121,300.49
Supplier SUP-037 | Straits Packaging Hub | Region:APAC | Country:Singapore | Category:Packaging Materials | Tier:Tier-1 | Risk:High | Avg OTD:93.4% | Avg Defect:0.96% | Avg Compliance:92 | Avg Sustainability:84 | Active Disruptions:Political instability flag | Alt Supplier:SUP-029 | Certifications:ISO9001;ISO14001 | Total PO Value:$357,752.13 [REBATE ELIGIBLE]
Supplier SUP-038 | SingaMold Tech | Region:APAC | Country:Singapore | Category:Mechanical Components | Tier:Tier-1 | Risk:Low | Avg OTD:94.7% | Avg Defect:0.78% | Avg Compliance:87 | Avg Sustainability:83 | Active Disruptions:None | Alt Supplier:SUP-068 | Certifications:ISO9001;IATF16949 | Total PO Value:$687,982.73
Supplier SUP-039 | Krungsri Moldtech | Region:APAC | Country:Thailand | Category:Mechanical Components | Tier:Tier-2 | Risk:Medium | Avg OTD:86.9% | Avg Defect:1.82% | Avg Compliance:78 | Avg Sustainability:65 | Active Disruptions:Geopolitical tension flag | Alt Supplier:SUP-042 | Certifications:ISO9001;IATF16949 | Total PO Value:$2,033,808.35
Supplier SUP-040 | ChaoPhaya Pack | Region:APAC | Country:Thailand | Category:Packaging Materials | Tier:Tier-2 | Risk:Medium | Avg OTD:87.9% | Avg Defect:1.51% | Avg Compliance:81 | Avg Sustainability:66 | Active Disruptions:None | Alt Supplier:SUP-075 | Certifications:FSC;ISO9001 | Total PO Value:$1,059,383.66
Supplier SUP-041 | Archipelago PCB Corp | Region:APAC | Country:Philippines | Category:Electronic Components | Tier:Tier-3 | Risk:High | Avg OTD:74.4% | Avg Defect:2.82% | Avg Compliance:67 | Avg Sustainability:48 | Active Disruptions:Labour strike risk | Alt Supplier:SUP-052 | Certifications:ISO9001 | Total PO Value:$4,402,101.57 [SWL] [TIER3-DISRUPTION-LEVEL3]
Supplier SUP-042 | Visayas Textile Co | Region:APAC | Country:Philippines | Category:Industrial Textiles | Tier:Tier-3 | Risk:Medium | Avg OTD:76.0% | Avg Defect:2.97% | Avg Compliance:61 | Avg Sustainability:50 | Active Disruptions:Port congestion risk | Alt Supplier:SUP-033 | Certifications:OEKO-TEX;ISO9001 | Total PO Value:$2,723,402.89
Supplier SUP-043 | Tasman Circuit Boards | Region:APAC | Country:Australia | Category:Electronic Components | Tier:Tier-1 | Risk:Medium | Avg OTD:94.6% | Avg Defect:1.19% | Avg Compliance:87 | Avg Sustainability:83 | Active Disruptions:None | Alt Supplier:SUP-074 | Certifications:ISO9001;AEC-Q100;RoHS | Total PO Value:$1,162,467.22 [REBATE ELIGIBLE]
Supplier SUP-044 | Broken Hill Alloys | Region:APAC | Country:Australia | Category:Specialty Alloys | Tier:Tier-1 | Risk:Low | Avg OTD:93.8% | Avg Defect:0.55% | Avg Compliance:89 | Avg Sustainability:87 | Active Disruptions:None | Alt Supplier:SUP-002 | Certifications:ISO9001;NADCAP | Total PO Value:$2,124,588.35
Supplier SUP-045 | Sibertek Molding | Region:APAC | Country:Russia | Category:Mechanical Components | Tier:Tier-3 | Risk:Medium | Avg OTD:72.7% | Avg Defect:3.19% | Avg Compliance:64 | Avg Sustainability:48 | Active Disruptions:None | Alt Supplier:SUP-090 | Certifications:ISO9001 | Total PO Value:$3,126,936.59 [SWL] [TIER3-DISRUPTION-LEVEL3]
Supplier SUP-046 | Krauss-Polymex GmbH | Region:EMEA | Country:Germany | Category:Raw Materials | Tier:Tier-1 | Risk:Low | Avg OTD:93.6% | Avg Defect:0.94% | Avg Compliance:90 | Avg Sustainability:87 | Active Disruptions:None | Alt Supplier:SUP-102 | Certifications:REACH;ISO9001;ISO14001 | Total PO Value:$1,934,117.17 [REBATE ELIGIBLE]
Supplier SUP-047 | Rheinwerk Precision AG | Region:EMEA | Country:Germany | Category:Mechanical Components | Tier:Tier-1 | Risk:Low | Avg OTD:93.6% | Avg Defect:0.96% | Avg Compliance:90 | Avg Sustainability:85 | Active Disruptions:None | Alt Supplier:SUP-044 | Certifications:ISO9001;IATF16949 | Total PO Value:$672,371.26
Supplier SUP-048 | Berliner Pack GmbH | Region:EMEA | Country:Germany | Category:Packaging Materials | Tier:Tier-1 | Risk:Low | Avg OTD:93.9% | Avg Defect:0.76% | Avg Compliance:90 | Avg Sustainability:81 | Active Disruptions:None | Alt Supplier:SUP-084 | Certifications:FSC;ISO14001;ISO9001 | Total PO Value:$289,328.09
Supplier SUP-049 | Munich Alloy Technik | Region:EMEA | Country:Germany | Category:Specialty Alloys | Tier:Tier-1 | Risk:Low | Avg OTD:94.5% | Avg Defect:0.89% | Avg Compliance:91 | Avg Sustainability:84 | Active Disruptions:None | Alt Supplier:SUP-061 | Certifications:ISO9001;NADCAP;AS9100 | Total PO Value:$3,034,722.45
Supplier SUP-050 | Dresdner Textilwerk | Region:EMEA | Country:Germany | Category:Industrial Textiles | Tier:Tier-2 | Risk:Medium | Avg OTD:85.5% | Avg Defect:1.76% | Avg Compliance:80 | Avg Sustainability:64 | Active Disruptions:Port congestion risk | Alt Supplier:SUP-024 | Certifications:OEKO-TEX;ISO9001 | Total PO Value:$1,890,839.73
Supplier SUP-051 | Toreval Electronics | Region:EMEA | Country:France | Category:Electronic Components | Tier:Tier-1 | Risk:Low | Avg OTD:93.7% | Avg Defect:0.74% | Avg Compliance:90 | Avg Sustainability:84 | Active Disruptions:None | Alt Supplier:SUP-011 | Certifications:ISO9001;AEC-Q100;RoHS | Total PO Value:$943,358.32 [REBATE ELIGIBLE]
Supplier SUP-052 | Lyon Polymer SAS | Region:EMEA | Country:France | Category:Raw Materials | Tier:Tier-1 | Risk:Medium | Avg OTD:93.3% | Avg Defect:0.91% | Avg Compliance:88 | Avg Sustainability:82 | Active Disruptions:Geopolitical tension flag | Alt Supplier:SUP-069 | Certifications:ISO9001;ISO14001;REACH | Total PO Value:$1,493,177.51
Supplier SUP-053 | Bordeaux Pack SAS | Region:EMEA | Country:France | Category:Packaging Materials | Tier:Tier-2 | Risk:Low | Avg OTD:87.4% | Avg Defect:1.90% | Avg Compliance:78 | Avg Sustainability:69 | Active Disruptions:None | Alt Supplier:SUP-116 | Certifications:FSC;ISO14001;ISO9001 | Total PO Value:$703,614.84
Supplier SUP-054 | Lumivex Semiconductor NL | Region:EMEA | Country:Netherlands | Category:Electronic Components | Tier:Tier-1 | Risk:High | Avg OTD:93.2% | Avg Defect:0.92% | Avg Compliance:88 | Avg Sustainability:84 | Active Disruptions:Political instability flag | Alt Supplier:SUP-038 | Certifications:ISO9001;AEC-Q100;RoHS | Total PO Value:$922,977.08 [REBATE ELIGIBLE]
Supplier SUP-055 | Rotterdam Chem BV | Region:EMEA | Country:Netherlands | Category:Raw Materials | Tier:Tier-1 | Risk:Low | Avg OTD:93.2% | Avg Defect:0.78% | Avg Compliance:91 | Avg Sustainability:83 | Active Disruptions:None | Alt Supplier:SUP-083 | Certifications:ISO9001;ISO14001;REACH | Total PO Value:$1,737,233.78
Supplier SUP-056 | Solveig Eco Packaging | Region:EMEA | Country:Sweden | Category:Packaging Materials | Tier:Tier-1 | Risk:Low | Avg OTD:94.0% | Avg Defect:0.94% | Avg Compliance:89 | Avg Sustainability:87 | Active Disruptions:None | Alt Supplier:SUP-093 | Certifications:FSC;ISO14001;ISO9001 | Total PO Value:$306,239.11 [REBATE ELIGIBLE]
Supplier SUP-057 | Norrsken Textiles AB | Region:EMEA | Country:Sweden | Category:Industrial Textiles | Tier:Tier-1 | Risk:Medium | Avg OTD:94.2% | Avg Defect:1.01% | Avg Compliance:88 | Avg Sustainability:89 | Active Disruptions:Port congestion risk | Alt Supplier:SUP-047 | Certifications:OEKO-TEX;ISO9001;ISO14001 | Total PO Value:$509,745.89
Supplier SUP-058 | Norbec Alloy Works | Region:EMEA | Country:Norway | Category:Specialty Alloys | Tier:Tier-1 | Risk:Low | Avg OTD:93.4% | Avg Defect:1.02% | Avg Compliance:91 | Avg Sustainability:84 | Active Disruptions:None | Alt Supplier:SUP-006 | Certifications:ISO9001;ISO14001;AS9100 | Total PO Value:$2,735,906.82 [REBATE ELIGIBLE]
Supplier SUP-059 | Fjord Polymer AS | Region:EMEA | Country:Norway | Category:Raw Materials | Tier:Tier-1 | Risk:Low | Avg OTD:93.3% | Avg Defect:0.97% | Avg Compliance:89 | Avg Sustainability:85 | Active Disruptions:None | Alt Supplier:SUP-041 | Certifications:ISO9001;ISO14001;REACH | Total PO Value:$1,391,817.88
Supplier SUP-060 | Nordloom Finland Oy | Region:EMEA | Country:Finland | Category:Industrial Textiles | Tier:Tier-1 | Risk:Low | Avg OTD:94.4% | Avg Defect:1.06% | Avg Compliance:90 | Avg Sustainability:83 | Active Disruptions:None | Alt Supplier:SUP-005 | Certifications:OEKO-TEX;ISO9001;ISO14001 | Total PO Value:$406,982.47 [REBATE ELIGIBLE]
Supplier SUP-061 | Helsinki Pack Oy | Region:EMEA | Country:Finland | Category:Packaging Materials | Tier:Tier-2 | Risk:Medium | Avg OTD:84.9% | Avg Defect:1.54% | Avg Compliance:77 | Avg Sustainability:64 | Active Disruptions:Seasonal flood risk | Alt Supplier:SUP-066 | Certifications:FSC;ISO9001 | Total PO Value:$694,215.92
Supplier SUP-062 | Borealis Composites | Region:EMEA | Country:Denmark | Category:Raw Materials | Tier:Tier-1 | Risk:Low | Avg OTD:93.6% | Avg Defect:0.94% | Avg Compliance:89 | Avg Sustainability:86 | Active Disruptions:None | Alt Supplier:SUP-013 | Certifications:ISO9001;ISO14001;REACH | Total PO Value:$1,699,860.45 [REBATE ELIGIBLE]
Supplier SUP-063 | Elsinor Pack AS | Region:EMEA | Country:Denmark | Category:Packaging Materials | Tier:Tier-2 | Risk:High | Avg OTD:87.8% | Avg Defect:1.85% | Avg Compliance:83 | Avg Sustainability:67 | Active Disruptions:Political instability flag | Alt Supplier:SUP-038 | Certifications:FSC;ISO9001 | Total PO Value:$914,050.56
Supplier SUP-064 | Ostwind Composites AG | Region:EMEA | Country:Austria | Category:Raw Materials | Tier:Tier-1 | Risk:High | Avg OTD:93.6% | Avg Defect:1.08% | Avg Compliance:90 | Avg Sustainability:85 | Active Disruptions:Typhoon season disruption | Alt Supplier:SUP-014 | Certifications:ISO9001;ISO14001;REACH | Total PO Value:$1,402,260.91 [REBATE ELIGIBLE]
Supplier SUP-065 | Wiener Alloy GmbH | Region:EMEA | Country:Austria | Category:Specialty Alloys | Tier:Tier-2 | Risk:Medium | Avg OTD:86.2% | Avg Defect:1.71% | Avg Compliance:81 | Avg Sustainability:64 | Active Disruptions:Port congestion risk | Alt Supplier:SUP-048 | Certifications:ISO9001;NADCAP | Total PO Value:$8,141,932.49
Supplier SUP-066 | Valdoro Special Alloys | Region:EMEA | Country:Italy | Category:Specialty Alloys | Tier:Tier-1 | Risk:Low | Avg OTD:94.5% | Avg Defect:0.88% | Avg Compliance:89 | Avg Sustainability:85 | Active Disruptions:None | Alt Supplier:SUP-048 | Certifications:ISO9001;ISO14001;NADCAP | Total PO Value:$2,790,200.18 [REBATE ELIGIBLE]
Supplier SUP-067 | Braccio Metalli SpA | Region:EMEA | Country:Italy | Category:Specialty Alloys | Tier:Tier-2 | Risk:Medium | Avg OTD:86.3% | Avg Defect:1.79% | Avg Compliance:78 | Avg Sustainability:68 | Active Disruptions:Regulatory audit pending | Alt Supplier:SUP-116 | Certifications:ISO9001;NADCAP | Total PO Value:$9,625,790.67
Supplier SUP-068 | Milano Textil Srl | Region:EMEA | Country:Italy | Category:Industrial Textiles | Tier:Tier-2 | Risk:Medium | Avg OTD:83.4% | Avg Defect:1.79% | Avg Compliance:79 | Avg Sustainability:68 | Active Disruptions:Geopolitical tension flag | Alt Supplier:SUP-087 | Certifications:OEKO-TEX;ISO9001 | Total PO Value:$1,701,983.81
Supplier SUP-069 | Ibervex Quimica SL | Region:EMEA | Country:Spain | Category:Raw Materials | Tier:Tier-2 | Risk:Medium | Avg OTD:87.6% | Avg Defect:1.69% | Avg Compliance:79 | Avg Sustainability:63 | Active Disruptions:Seasonal flood risk | Alt Supplier:SUP-002 | Certifications:ISO9001;REACH | Total PO Value:$5,194,200.22
Supplier SUP-070 | Catalan Pack SA | Region:EMEA | Country:Spain | Category:Packaging Materials | Tier:Tier-2 | Risk:Medium | Avg OTD:86.9% | Avg Defect:1.82% | Avg Compliance:78 | Avg Sustainability:69 | Active Disruptions:None | Alt Supplier:SUP-052 | Certifications:FSC;ISO9001 | Total PO Value:$733,839.09
Supplier SUP-071 | Ferralux Gulf FZE | Region:EMEA | Country:UAE | Category:Specialty Alloys | Tier:Tier-2 | Risk:High | Avg OTD:87.9% | Avg Defect:1.84% | Avg Compliance:79 | Avg Sustainability:68 | Active Disruptions:Port closure risk | Alt Supplier:SUP-028 | Certifications:ISO9001;ISO14001 | Total PO Value:$9,525,326.57
Supplier SUP-072 | Almaral Steel FZC | Region:EMEA | Country:UAE | Category:Specialty Alloys | Tier:Tier-2 | Risk:Medium | Avg OTD:85.7% | Avg Defect:1.74% | Avg Compliance:80 | Avg Sustainability:65 | Active Disruptions:Port congestion risk | Alt Supplier:SUP-042 | Certifications:ISO9001 | Total PO Value:$9,330,113.92
Supplier SUP-073 | Dubai Pack FZE | Region:EMEA | Country:UAE | Category:Packaging Materials | Tier:Tier-2 | Risk:High | Avg OTD:86.7% | Avg Defect:1.84% | Avg Compliance:82 | Avg Sustainability:69 | Active Disruptions:Political instability flag | Alt Supplier:SUP-007 | Certifications:FSC;ISO9001 | Total PO Value:$1,238,050.32
Supplier SUP-074 | Novex Fab Polska | Region:EMEA | Country:Poland | Category:Mechanical Components | Tier:Tier-2 | Risk:Low | Avg OTD:88.4% | Avg Defect:1.96% | Avg Compliance:76 | Avg Sustainability:69 | Active Disruptions:None | Alt Supplier:SUP-081 | Certifications:ISO9001 | Total PO Value:$2,004,703.11
Supplier SUP-075 | Vistula Pack Sp | Region:EMEA | Country:Poland | Category:Packaging Materials | Tier:Tier-3 | Risk:High | Avg OTD:72.5% | Avg Defect:3.20% | Avg Compliance:63 | Avg Sustainability:48 | Active Disruptions:Regulatory enforcement pending | Alt Supplier:SUP-080 | Certifications:FSC;ISO9001 | Total PO Value:$1,177,759.34
Supplier SUP-076 | BalticPrint OU | Region:EMEA | Country:Estonia | Category:Packaging Materials | Tier:Tier-2 | Risk:Low | Avg OTD:85.8% | Avg Defect:1.93% | Avg Compliance:79 | Avg Sustainability:69 | Active Disruptions:None | Alt Supplier:SUP-067 | Certifications:FSC;ISO9001 | Total PO Value:$1,192,267.40
Supplier SUP-077 | Kovalev Metalburg | Region:EMEA | Country:Czechia | Category:Mechanical Components | Tier:Tier-2 | Risk:Medium | Avg OTD:85.4% | Avg Defect:1.45% | Avg Compliance:81 | Avg Sustainability:66 | Active Disruptions:Geopolitical tension flag | Alt Supplier:SUP-048 | Certifications:ISO9001;IATF16949 | Total PO Value:$2,307,546.66
Supplier SUP-078 | Varna Electronics EAD | Region:EMEA | Country:Bulgaria | Category:Electronic Components | Tier:Tier-3 | Risk:Medium | Avg OTD:74.4% | Avg Defect:2.64% | Avg Compliance:64 | Avg Sustainability:44 | Active Disruptions:Port congestion risk | Alt Supplier:SUP-092 | Certifications:ISO9001;RoHS | Total PO Value:$4,647,913.60 [SWL] [TIER3-DISRUPTION-LEVEL3]
